added_time,address,area,avenue,crawl_time,fang_subway_ex,floor,house_orientation,housing_units,img_url,info,location,rent,result_kanfang,title
2017.07.30,"
                                    ",119,金榜人家,1505316942.554455,距离5号线东川路站73米,中区/6层,朝南北,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20150816/759a0dcd-d88b-47be-b155-bbf239da5938.jpg_600x450.jpg,,闵行,5800,6,金榜人家，人气房源，交通便利，看房有钥匙
2017.07.30,"
                                    ",39,博山小区,1505316942.5642629,距离6号线北洋泾路站795米,低区/6层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170319/08a617a6-db40-4639-ae86-467c6d7f4efb.jpg_600x450.jpg,,浦东,3600,8,博山小区，有钥匙方便看，人气房源，有爱有家
2017.07.30,"
                                    ",42,华高二村,1505316942.57445,距离12号线金京路站188米,高区/6层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20150603/c2aa6d49-d604-4349-bf3b-36df2577f03a.jpg_600x450.jpg,,浦东,4000,9,华高二村，享受好房，有钥匙，光线棒
2017.07.27,"
                                    ",70,车站新村（普陀）,1505316942.5860312,距离11号线上海西站站221米,中区/18层,暂无数据,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170709/a2ced9f7-1e49-4255-9c2c-3dccb1369324.jpg_600x450.jpg,,普陀,4800,11,车站新村，链家好房，人气房源，2室1厅1卫
2017.07.27,"
                                    ",49,寿光路161弄,1505316942.597153,距离6号线五莲路站627米,高区/6层,朝南,2室 0厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20160609/2d34a1ff-a5aa-49e7-a7e7-64ae6a3b2cb1.jpg_600x450.jpg,,浦东,3000,8,近地铁，高区景观房，一链倾城，人气房源
2017.07.27,"
                                    ",68,中江小区,1505316942.606577,距离13号线大渡河路站372米,中区/6层,朝南北,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170727/bedc1c48-18ac-42e2-92fd-b5d55ab6ee8a.jpg_600x450.jpg,,普陀,6800,4,中江小区，看房方便，附近有地铁，人气房源
2017.07.27,"
                                    ",59,嘉瑞花苑,1505316942.615996,距离9号线嘉善路站194米,高区/24层,暂无数据,1室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170901/113717ce-3fcc-4e25-bd16-4d048da63d93.jpg_600x450.jpg,,徐汇,7300,5,小户型，附近有地铁，人气房源，钥匙在店
2017.07.27,"
                                    ",57,宝林一村,1505316942.697425,距离3号线宝杨路站545米,中区/5层,朝南,2室 1厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170730/090980be-29c2-4d2f-a1b7-b5ea9b2cfbaf.jpg_600x450.jpg,,宝山,3800,8,有钥匙房源，实地看房，光线充足，附近有地铁
2017.07.28,"
                                    ",149,汇贤居,1505316942.705576,距离1号线常熟路站548米,低区/19层,朝南,3室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20170802/0911bd16-f710-49d4-bacf-df3059c6e60c.jpg_600x450.jpg,,徐汇,28000,5,汇贤居，享受好房，交通方便，舒适三室
2017.07.28,"
                                    ",81,大宁路660弄,1505316942.716136,距离1号线延长路站680米,高区/6层,暂无数据,2室 2厅,http://cdn1.dooioo.com/fetch/vp/fy/gi/20161028/cebb9cc1-33e6-4eec-ac9c-dcc156a76659.jpg_600x450.jpg,,闸北,6000,4,简约二室，高清大图，链家好房，钥匙在店
